ekip_adi,islem_tipi,tarih,saat,talimat_adet
İstanbul Ekip,EFT,2024-09-23,16,4
Ankara Ekip,EFT,2024-09-23,16,2
Merkez Ekip,EFT,2024-09-23,17,8
İstanbul Ekip,EFT,2024-09-23,17,6
Ankara Ekip,EFT,2024-09-23,17,3
İstanbul Ekip,EFT,2024-09-23,18,1
Merkez Ekip,EFT,2024-09-23,19,1
Merkez Ekip,EFT,2024-09-24,1,1
Merkez Ekip,EFT,2024-09-24,2,1
Merkez Ekip,EFT,2024-09-24,6,1
İstanbul Ekip,EFT,2024-09-24,6,2
Ankara Ekip,EFT,2024-09-24,6,2
Merkez Ekip,EFT,2024-09-24,7,3
İstanbul Ekip,EFT,2024-09-24,7,3
Merkez Ekip,EFT,2024-09-24,8,2
İstanbul Ekip,EFT,2024-09-24,8,1
Ankara Ekip,EFT,2024-09-24,8,3
Merkez Ekip,EFT,2024-09-24,9,3
İstanbul Ekip,EFT,2024-09-24,9,1
Ankara Ekip,EFT,2024-09-24,9,1
Merkez Ekip,EFT,2024-09-24,10,17
İstanbul Ekip,EFT,2024-09-24,10,11
Ankara Ekip,EFT,2024-09-24,10,4
Merkez Ekip,EFT,2024-09-24,11,29
İstanbul Ekip,EFT,2024-09-24,11,28
Ankara Ekip,EFT,2024-09-24,11,16
Merkez Ekip,EFT,2024-09-24,12,2
İstanbul Ekip,EFT,2024-09-24,12,5
Merkez Ekip,EFT,2024-09-24,13,21
İstanbul Ekip,EFT,2024-09-24,13,13
Ankara Ekip,EFT,2024-09-24,13,10
Merkez Ekip,EFT,2024-09-24,14,5
İstanbul Ekip,EFT,2024-09-24,14,2
Ankara Ekip,EFT,2024-09-24,14,2
Merkez Ekip,EFT,2024-09-24,15,20
İstanbul Ekip,EFT,2024-09-24,15,10
Ankara Ekip,EFT,2024-09-24,15,7
Merkez Ekip,EFT,2024-09-24,16,12
İstanbul Ekip,EFT,2024-09-24,16,4
Ankara Ekip,EFT,2024-09-24,16,6
Merkez Ekip,EFT,2024-09-24,17,7
İstanbul Ekip,EFT,2024-09-24,17,5
Ankara Ekip,EFT,2024-09-24,17,4
Merkez Ekip,EFT,2024-09-24,18,5
Merkez Ekip,EFT,2024-09-24,19,3
İstanbul Ekip,EFT,2024-09-24,19,4
Ankara Ekip,EFT,2024-09-24,19,4
Merkez Ekip,EFT,2024-09-24,22,11
İstanbul Ekip,EFT,2024-09-24,22,4
Ankara Ekip,EFT,2024-09-24,22,1
Ankara Ekip,EFT,2024-09-25,4,1
Merkez Ekip,EFT,2024-09-25,6,5
İstanbul Ekip,EFT,2024-09-25,6,3
Merkez Ekip,EFT,2024-09-25,7,3
Ankara Ekip,EFT,2024-09-25,7,2
Merkez Ekip,EFT,2024-09-25,8,3
İstanbul Ekip,EFT,2024-09-25,8,6
Ankara Ekip,EFT,2024-09-25,8,4
Merkez Ekip,EFT,2024-09-25,9,15
İstanbul Ekip,EFT,2024-09-25,9,9
Ankara Ekip,EFT,2024-09-25,9,11
Merkez Ekip,EFT,2024-09-25,10,17
İstanbul Ekip,EFT,2024-09-25,10,5
Ankara Ekip,EFT,2024-09-25,10,3
Merkez Ekip,EFT,2024-09-25,11,16
İstanbul Ekip,EFT,2024-09-25,11,15
Ankara Ekip,EFT,2024-09-25,11,9
Merkez Ekip,EFT,2024-09-25,12,7
İstanbul Ekip,EFT,2024-09-25,12,3
Ankara Ekip,EFT,2024-09-25,12,1
Merkez Ekip,EFT,2024-09-25,13,11
İstanbul Ekip,EFT,2024-09-25,13,9
Ankara Ekip,EFT,2024-09-25,13,3
Merkez Ekip,EFT,2024-09-25,14,12
İstanbul Ekip,EFT,2024-09-25,14,8
Ankara Ekip,EFT,2024-09-25,14,5
Merkez Ekip,EFT,2024-09-25,15,1
İstanbul Ekip,EFT,2024-09-25,15,4
Merkez Ekip,EFT,2024-09-25,16,4
İstanbul Ekip,EFT,2024-09-25,16,5
Ankara Ekip,EFT,2024-09-25,16,4
Merkez Ekip,EFT,2024-09-25,17,3
İstanbul Ekip,EFT,2024-09-25,17,1
Ankara Ekip,EFT,2024-09-25,17,2
Merkez Ekip,EFT,2024-09-25,18,1
İstanbul Ekip,EFT,2024-09-25,18,2
Merkez Ekip,EFT,2024-09-25,19,1
Ankara Ekip,EFT,2024-09-25,19,1
Merkez Ekip,EFT,2024-09-25,21,2
İstanbul Ekip,EFT,2024-09-25,21,1
İstanbul Ekip,EFT,2024-09-26,7,2
Merkez Ekip,EFT,2024-09-26,8,10
İstanbul Ekip,EFT,2024-09-26,8,8
Ankara Ekip,EFT,2024-09-26,8,3
Merkez Ekip,EFT,2024-09-26,9,5
İstanbul Ekip,EFT,2024-09-26,9,5
Ankara Ekip,EFT,2024-09-26,9,3
Merkez Ekip,EFT,2024-09-26,10,1
İstanbul Ekip,EFT,2024-09-26,10,4
Ankara Ekip,EFT,2024-09-26,10,1
Merkez Ekip,EFT,2024-09-26,11,9
İstanbul Ekip,EFT,2024-09-26,11,7
Ankara Ekip,EFT,2024-09-26,11,4
Merkez Ekip,EFT,2024-09-26,12,8
İstanbul Ekip,EFT,2024-09-26,12,5
Ankara Ekip,EFT,2024-09-26,12,2
Merkez Ekip,EFT,2024-09-26,13,3
İstanbul Ekip,EFT,2024-09-26,13,6
Ankara Ekip,EFT,2024-09-26,13,4
Merkez Ekip,EFT,2024-09-26,14,10
İstanbul Ekip,EFT,2024-09-26,14,14
Ankara Ekip,EFT,2024-09-26,14,9
Merkez Ekip,EFT,2024-09-26,15,1
Merkez Ekip,EFT,2024-09-26,16,16
İstanbul Ekip,EFT,2024-09-26,16,9
Ankara Ekip,EFT,2024-09-26,16,10
Merkez Ekip,EFT,2024-09-26,17,1
Merkez Ekip,EFT,2024-09-26,18,4
İstanbul Ekip,EFT,2024-09-26,19,1
Merkez Ekip,EFT,2024-09-27,4,1
Merkez Ekip,EFT,2024-09-27,6,13
İstanbul Ekip,EFT,2024-09-27,6,9
Ankara Ekip,EFT,2024-09-27,6,11
Merkez Ekip,EFT,2024-09-27,7,3
İstanbul Ekip,EFT,2024-09-27,7,2
Ankara Ekip,EFT,2024-09-27,7,1
Merkez Ekip,EFT,2024-09-27,8,1
İstanbul Ekip,EFT,2024-09-27,8,2
Merkez Ekip,EFT,2024-09-27,9,15
İstanbul Ekip,EFT,2024-09-27,9,15
Ankara Ekip,EFT,2024-09-27,9,4
Merkez Ekip,EFT,2024-09-27,10,7
İstanbul Ekip,EFT,2024-09-27,10,6
Ankara Ekip,EFT,2024-09-27,10,4
Merkez Ekip,EFT,2024-09-27,11,3
İstanbul Ekip,EFT,2024-09-27,11,2
Merkez Ekip,EFT,2024-09-27,12,3
İstanbul Ekip,EFT,2024-09-27,12,5
Ankara Ekip,EFT,2024-09-27,12,4
Ankara Ekip,EFT,2024-09-27,13,2
Merkez Ekip,EFT,2024-09-27,14,8
İstanbul Ekip,EFT,2024-09-27,14,11
Ankara Ekip,EFT,2024-09-27,14,3
Merkez Ekip,EFT,2024-09-27,15,9
İstanbul Ekip,EFT,2024-09-27,15,10
Ankara Ekip,EFT,2024-09-27,15,3
Merkez Ekip,EFT,2024-09-27,16,3
İstanbul Ekip,EFT,2024-09-27,16,1
Merkez Ekip,EFT,2024-09-27,17,3
İstanbul Ekip,EFT,2024-09-27,17,7
Ankara Ekip,EFT,2024-09-27,17,2
İstanbul Ekip,EFT,2024-09-27,18,2
Merkez Ekip,EFT,2024-09-27,19,1
İstanbul Ekip,EFT,2024-09-27,19,1
İstanbul Ekip,EFT,2024-09-27,21,1
Merkez Ekip,EFT,2024-09-30,0,1
İstanbul Ekip,EFT,2024-09-30,6,2
Merkez Ekip,EFT,2024-09-30,7,7
İstanbul Ekip,EFT,2024-09-30,7,5
Ankara Ekip,EFT,2024-09-30,7,2
Merkez Ekip,EFT,2024-09-30,8,20
İstanbul Ekip,EFT,2024-09-30,8,19
Ankara Ekip,EFT,2024-09-30,8,8
Merkez Ekip,EFT,2024-09-30,9,6
İstanbul Ekip,EFT,2024-09-30,9,4
Ankara Ekip,EFT,2024-09-30,9,2
Merkez Ekip,EFT,2024-09-30,10,17
İstanbul Ekip,EFT,2024-09-30,10,11
Ankara Ekip,EFT,2024-09-30,10,9
Merkez Ekip,EFT,2024-09-30,11,21
İstanbul Ekip,EFT,2024-09-30,11,15
Ankara Ekip,EFT,2024-09-30,11,19
Merkez Ekip,EFT,2024-09-30,12,20
İstanbul Ekip,EFT,2024-09-30,12,17
Ankara Ekip,EFT,2024-09-30,12,7
Merkez Ekip,EFT,2024-09-30,13,22
İstanbul Ekip,EFT,2024-09-30,13,5
Ankara Ekip,EFT,2024-09-30,13,7
Merkez Ekip,EFT,2024-09-30,14,7
İstanbul Ekip,EFT,2024-09-30,14,3
Ankara Ekip,EFT,2024-09-30,14,6
Merkez Ekip,EFT,2024-09-30,15,1
İstanbul Ekip,EFT,2024-09-30,15,1
Ankara Ekip,EFT,2024-09-30,15,2
Merkez Ekip,EFT,2024-09-30,16,2
İstanbul Ekip,EFT,2024-09-30,16,6
Merkez Ekip,EFT,2024-09-30,17,5
İstanbul Ekip,EFT,2024-09-30,17,8
Ankara Ekip,EFT,2024-09-30,17,2
İstanbul Ekip,EFT,2024-09-30,18,4
Merkez Ekip,EFT,2024-09-30,19,12
İstanbul Ekip,EFT,2024-09-30,19,11
Ankara Ekip,EFT,2024-09-30,19,6
Merkez Ekip,EFT,2024-09-30,22,12
İstanbul Ekip,EFT,2024-09-30,22,8
Ankara Ekip,EFT,2024-09-30,22,2
Merkez Ekip,EFT,2024-10-01,5,2
İstanbul Ekip,EFT,2024-10-01,5,1
Merkez Ekip,EFT,2024-10-01,6,2
İstanbul Ekip,EFT,2024-10-01,6,2
Merkez Ekip,EFT,2024-10-01,7,3
Ankara Ekip,EFT,2024-10-01,7,3
Merkez Ekip,EFT,2024-10-01,8,7
İstanbul Ekip,EFT,2024-10-01,8,9
Ankara Ekip,EFT,2024-10-01,8,9
Merkez Ekip,EFT,2024-10-01,9,5
İstanbul Ekip,EFT,2024-10-01,9,1
Ankara Ekip,EFT,2024-10-01,9,2
Merkez Ekip,EFT,2024-10-01,10,10
İstanbul Ekip,EFT,2024-10-01,10,7
Ankara Ekip,EFT,2024-10-01,10,3
Merkez Ekip,EFT,2024-10-01,11,17
İstanbul Ekip,EFT,2024-10-01,11,10
Ankara Ekip,EFT,2024-10-01,11,5
Merkez Ekip,EFT,2024-10-01,12,5
Ankara Ekip,EFT,2024-10-01,12,1
Merkez Ekip,EFT,2024-10-01,13,5
İstanbul Ekip,EFT,2024-10-01,13,6
Ankara Ekip,EFT,2024-10-01,13,4
Merkez Ekip,EFT,2024-10-01,14,2
İstanbul Ekip,EFT,2024-10-01,14,1
Ankara Ekip,EFT,2024-10-01,14,1
Merkez Ekip,EFT,2024-10-01,15,13
İstanbul Ekip,EFT,2024-10-01,15,7
Ankara Ekip,EFT,2024-10-01,15,5
İstanbul Ekip,EFT,2024-10-01,16,3
Ankara Ekip,EFT,2024-10-01,16,1
Merkez Ekip,EFT,2024-10-01,17,2
İstanbul Ekip,EFT,2024-10-01,17,4
Merkez Ekip,EFT,2024-10-01,18,3
Merkez Ekip,EFT,2024-10-01,19,5
İstanbul Ekip,EFT,2024-10-01,19,4
Ankara Ekip,EFT,2024-10-01,19,4
Merkez Ekip,EFT,2024-10-01,23,1
Merkez Ekip,EFT,2024-10-02,6,2
Ankara Ekip,EFT,2024-10-02,6,1
Merkez Ekip,EFT,2024-10-02,7,3
İstanbul Ekip,EFT,2024-10-02,7,1
Ankara Ekip,EFT,2024-10-02,7,1
Merkez Ekip,EFT,2024-10-02,8,4
İstanbul Ekip,EFT,2024-10-02,8,2
Ankara Ekip,EFT,2024-10-02,8,4
Merkez Ekip,EFT,2024-10-02,9,8
İstanbul Ekip,EFT,2024-10-02,9,10
Ankara Ekip,EFT,2024-10-02,9,2
Merkez Ekip,EFT,2024-10-02,10,12
İstanbul Ekip,EFT,2024-10-02,10,11
Ankara Ekip,EFT,2024-10-02,10,3
Merkez Ekip,EFT,2024-10-02,11,4
İstanbul Ekip,EFT,2024-10-02,11,3
Ankara Ekip,EFT,2024-10-02,11,2
Merkez Ekip,EFT,2024-10-02,12,2
İstanbul Ekip,EFT,2024-10-02,12,2
Merkez Ekip,EFT,2024-10-02,13,4
İstanbul Ekip,EFT,2024-10-02,13,2
Ankara Ekip,EFT,2024-10-02,13,1
Merkez Ekip,EFT,2024-10-02,14,7
İstanbul Ekip,EFT,2024-10-02,14,7
Ankara Ekip,EFT,2024-10-02,14,8
Merkez Ekip,EFT,2024-10-02,15,4
İstanbul Ekip,EFT,2024-10-02,15,3
Ankara Ekip,EFT,2024-10-02,15,2
Merkez Ekip,EFT,2024-10-02,16,8
İstanbul Ekip,EFT,2024-10-02,16,3
Ankara Ekip,EFT,2024-10-02,16,3
Merkez Ekip,EFT,2024-10-02,17,1
İstanbul Ekip,EFT,2024-10-02,17,1
Ankara Ekip,EFT,2024-10-02,17,2
Merkez Ekip,EFT,2024-10-02,18,3
İstanbul Ekip,EFT,2024-10-02,18,8
Ankara Ekip,EFT,2024-10-02,18,2
Merkez Ekip,EFT,2024-10-02,20,3
İstanbul Ekip,EFT,2024-10-02,20,2
Merkez Ekip,EFT,2024-10-03,6,5
İstanbul Ekip,EFT,2024-10-03,6,2
Ankara Ekip,EFT,2024-10-03,6,1
Merkez Ekip,EFT,2024-10-03,7,3
İstanbul Ekip,EFT,2024-10-03,7,2
Ankara Ekip,EFT,2024-10-03,7,1
Merkez Ekip,EFT,2024-10-03,8,19
İstanbul Ekip,EFT,2024-10-03,8,18
Ankara Ekip,EFT,2024-10-03,8,7
İstanbul Ekip,EFT,2024-10-03,9,1
Ankara Ekip,EFT,2024-10-03,9,1
Merkez Ekip,EFT,2024-10-03,10,14
İstanbul Ekip,EFT,2024-10-03,10,10
Ankara Ekip,EFT,2024-10-03,10,3
Merkez Ekip,EFT,2024-10-03,11,3
İstanbul Ekip,EFT,2024-10-03,11,3
Ankara Ekip,EFT,2024-10-03,11,2
Merkez Ekip,EFT,2024-10-03,12,3
Merkez Ekip,EFT,2024-10-03,13,8
İstanbul Ekip,EFT,2024-10-03,13,15
Ankara Ekip,EFT,2024-10-03,13,4
Merkez Ekip,EFT,2024-10-03,14,12
İstanbul Ekip,EFT,2024-10-03,14,12
Ankara Ekip,EFT,2024-10-03,14,8
Merkez Ekip,EFT,2024-10-03,15,8
İstanbul Ekip,EFT,2024-10-03,15,8
Ankara Ekip,EFT,2024-10-03,15,1
Merkez Ekip,EFT,2024-10-03,16,5
İstanbul Ekip,EFT,2024-10-03,16,4
Ankara Ekip,EFT,2024-10-03,16,5
Merkez Ekip,EFT,2024-10-03,17,5
İstanbul Ekip,EFT,2024-10-03,17,3
Ankara Ekip,EFT,2024-10-03,17,2
Merkez Ekip,EFT,2024-10-03,18,2
İstanbul Ekip,EFT,2024-10-03,18,2
Merkez Ekip,EFT,2024-10-03,19,1
İstanbul Ekip,EFT,2024-10-03,19,2
Ankara Ekip,EFT,2024-10-03,19,1
İstanbul Ekip,EFT,2024-10-03,23,1
Merkez Ekip,EFT,2024-10-04,3,1
İstanbul Ekip,EFT,2024-10-04,5,1
Ankara Ekip,EFT,2024-10-04,5,1
Merkez Ekip,EFT,2024-10-04,8,5
İstanbul Ekip,EFT,2024-10-04,8,9
Ankara Ekip,EFT,2024-10-04,8,4
İstanbul Ekip,EFT,2024-10-04,9,4
Merkez Ekip,EFT,2024-10-04,10,9
İstanbul Ekip,EFT,2024-10-04,10,7
Ankara Ekip,EFT,2024-10-04,10,2
Merkez Ekip,EFT,2024-10-04,11,1
Ankara Ekip,EFT,2024-10-04,11,3
İstanbul Ekip,EFT,2024-10-04,12,1
Merkez Ekip,EFT,2024-10-04,13,1
Ankara Ekip,EFT,2024-10-04,13,1
Merkez Ekip,EFT,2024-10-04,14,3
İstanbul Ekip,EFT,2024-10-04,14,2
Ankara Ekip,EFT,2024-10-04,14,4
Merkez Ekip,EFT,2024-10-04,15,7
İstanbul Ekip,EFT,2024-10-04,15,2
Ankara Ekip,EFT,2024-10-04,15,1
Merkez Ekip,EFT,2024-10-04,16,2
İstanbul Ekip,EFT,2024-10-04,16,6
Ankara Ekip,EFT,2024-10-04,16,3
Merkez Ekip,EFT,2024-10-04,17,2
Merkez Ekip,EFT,2024-10-04,19,2
İstanbul Ekip,EFT,2024-10-04,19,3
Merkez Ekip,EFT,2024-10-04,20,1
Merkez Ekip,EFT,2024-10-07,3,3
İstanbul Ekip,EFT,2024-10-07,3,2
Ankara Ekip,EFT,2024-10-07,3,2
Merkez Ekip,EFT,2024-10-07,6,2
İstanbul Ekip,EFT,2024-10-07,6,1
Ankara Ekip,EFT,2024-10-07,6,1
Merkez Ekip,EFT,2024-10-07,7,7
İstanbul Ekip,EFT,2024-10-07,7,4
Ankara Ekip,EFT,2024-10-07,7,3
Merkez Ekip,EFT,2024-10-07,8,15
İstanbul Ekip,EFT,2024-10-07,8,8
Ankara Ekip,EFT,2024-10-07,8,4
Merkez Ekip,EFT,2024-10-07,9,54
İstanbul Ekip,EFT,2024-10-07,9,36
Ankara Ekip,EFT,2024-10-07,9,23
Merkez Ekip,EFT,2024-10-07,10,12
İstanbul Ekip,EFT,2024-10-07,10,9
Ankara Ekip,EFT,2024-10-07,10,3
Merkez Ekip,EFT,2024-10-07,11,11
İstanbul Ekip,EFT,2024-10-07,11,10
Ankara Ekip,EFT,2024-10-07,11,4
Merkez Ekip,EFT,2024-10-07,12,12
İstanbul Ekip,EFT,2024-10-07,12,7
Ankara Ekip,EFT,2024-10-07,12,4
Merkez Ekip,EFT,2024-10-07,13,8
İstanbul Ekip,EFT,2024-10-07,13,5
Ankara Ekip,EFT,2024-10-07,13,4
Merkez Ekip,EFT,2024-10-07,14,8
İstanbul Ekip,EFT,2024-10-07,14,12
Ankara Ekip,EFT,2024-10-07,14,5
Merkez Ekip,EFT,2024-10-07,15,8
İstanbul Ekip,EFT,2024-10-07,15,7
Ankara Ekip,EFT,2024-10-07,15,4
Merkez Ekip,EFT,2024-10-07,16,5
İstanbul Ekip,EFT,2024-10-07,16,8
Ankara Ekip,EFT,2024-10-07,16,4
Merkez Ekip,EFT,2024-10-07,18,1
İstanbul Ekip,EFT,2024-10-07,19,1
Merkez Ekip,EFT,2024-10-08,4,1
Merkez Ekip,EFT,2024-10-08,6,1
İstanbul Ekip,EFT,2024-10-08,6,1
Merkez Ekip,EFT,2024-10-08,7,8
İstanbul Ekip,EFT,2024-10-08,7,8
Ankara Ekip,EFT,2024-10-08,7,7
Merkez Ekip,EFT,2024-10-08,8,8
İstanbul Ekip,EFT,2024-10-08,8,6
Ankara Ekip,EFT,2024-10-08,8,3
Merkez Ekip,EFT,2024-10-08,9,23
İstanbul Ekip,EFT,2024-10-08,9,26
Ankara Ekip,EFT,2024-10-08,9,12
Merkez Ekip,EFT,2024-10-08,10,5
İstanbul Ekip,EFT,2024-10-08,10,6
Ankara Ekip,EFT,2024-10-08,10,4
Merkez Ekip,EFT,2024-10-08,11,12
İstanbul Ekip,EFT,2024-10-08,11,12
Ankara Ekip,EFT,2024-10-08,11,5
Merkez Ekip,EFT,2024-10-08,12,5
İstanbul Ekip,EFT,2024-10-08,12,8
Ankara Ekip,EFT,2024-10-08,12,3
Merkez Ekip,EFT,2024-10-08,13,1
İstanbul Ekip,EFT,2024-10-08,13,1
Merkez Ekip,EFT,2024-10-08,14,3
İstanbul Ekip,EFT,2024-10-08,14,1
Ankara Ekip,EFT,2024-10-08,14,1
Merkez Ekip,EFT,2024-10-08,15,5
İstanbul Ekip,EFT,2024-10-08,15,7
Ankara Ekip,EFT,2024-10-08,15,2
Merkez Ekip,EFT,2024-10-08,16,13
İstanbul Ekip,EFT,2024-10-08,16,7
Ankara Ekip,EFT,2024-10-08,16,6
Merkez Ekip,EFT,2024-10-08,17,4
İstanbul Ekip,EFT,2024-10-08,17,2
Merkez Ekip,EFT,2024-10-08,18,7
İstanbul Ekip,EFT,2024-10-08,18,5
Merkez Ekip,EFT,2024-10-08,19,8
İstanbul Ekip,EFT,2024-10-08,19,3
Ankara Ekip,EFT,2024-10-08,19,3
Merkez Ekip,EFT,2024-10-08,20,4
İstanbul Ekip,EFT,2024-10-08,20,5
Ankara Ekip,EFT,2024-10-08,20,3
Merkez Ekip,EFT,2024-10-09,1,1
Merkez Ekip,EFT,2024-10-09,6,1
Merkez Ekip,EFT,2024-10-09,7,1
İstanbul Ekip,EFT,2024-10-09,7,1
Merkez Ekip,EFT,2024-10-09,8,21
İstanbul Ekip,EFT,2024-10-09,8,17
Ankara Ekip,EFT,2024-10-09,8,10
Merkez Ekip,EFT,2024-10-09,9,20
İstanbul Ekip,EFT,2024-10-09,9,16
Ankara Ekip,EFT,2024-10-09,9,6
Merkez Ekip,EFT,2024-10-09,10,7
İstanbul Ekip,EFT,2024-10-09,10,5
Ankara Ekip,EFT,2024-10-09,10,2
Merkez Ekip,EFT,2024-10-09,11,3
İstanbul Ekip,EFT,2024-10-09,11,3
Ankara Ekip,EFT,2024-10-09,11,1
Merkez Ekip,EFT,2024-10-09,12,25
İstanbul Ekip,EFT,2024-10-09,12,30
Ankara Ekip,EFT,2024-10-09,12,12
Merkez Ekip,EFT,2024-10-09,13,2
İstanbul Ekip,EFT,2024-10-09,13,6
Ankara Ekip,EFT,2024-10-09,13,3
Merkez Ekip,EFT,2024-10-09,14,4
İstanbul Ekip,EFT,2024-10-09,14,5
Ankara Ekip,EFT,2024-10-09,14,3
Merkez Ekip,EFT,2024-10-09,15,2
Ankara Ekip,EFT,2024-10-09,15,1
Merkez Ekip,EFT,2024-10-09,16,7
İstanbul Ekip,EFT,2024-10-09,16,10
Ankara Ekip,EFT,2024-10-09,16,3
Merkez Ekip,EFT,2024-10-09,17,2
Ankara Ekip,EFT,2024-10-09,17,1
Merkez Ekip,EFT,2024-10-09,18,4
İstanbul Ekip,EFT,2024-10-09,18,3
Ankara Ekip,EFT,2024-10-09,18,2
Merkez Ekip,EFT,2024-10-09,21,2
İstanbul Ekip,EFT,2024-10-09,21,1
Merkez Ekip,EFT,2024-10-10,7,8
İstanbul Ekip,EFT,2024-10-10,7,5
Ankara Ekip,EFT,2024-10-10,7,2
Merkez Ekip,EFT,2024-10-10,8,5
İstanbul Ekip,EFT,2024-10-10,8,7
Ankara Ekip,EFT,2024-10-10,8,4
Merkez Ekip,EFT,2024-10-10,9,14
İstanbul Ekip,EFT,2024-10-10,9,11
Ankara Ekip,EFT,2024-10-10,9,2
Merkez Ekip,EFT,2024-10-10,10,3
İstanbul Ekip,EFT,2024-10-10,10,4
Ankara Ekip,EFT,2024-10-10,10,1
Merkez Ekip,EFT,2024-10-10,11,32
İstanbul Ekip,EFT,2024-10-10,11,19
Ankara Ekip,EFT,2024-10-10,11,12
Merkez Ekip,EFT,2024-10-10,12,16
İstanbul Ekip,EFT,2024-10-10,12,10
Ankara Ekip,EFT,2024-10-10,12,7
İstanbul Ekip,EFT,2024-10-10,13,2
Merkez Ekip,EFT,2024-10-10,14,3
İstanbul Ekip,EFT,2024-10-10,14,4
Ankara Ekip,EFT,2024-10-10,14,3
Merkez Ekip,EFT,2024-10-10,15,14
İstanbul Ekip,EFT,2024-10-10,15,7
Ankara Ekip,EFT,2024-10-10,15,4
Merkez Ekip,EFT,2024-10-10,17,1
İstanbul Ekip,EFT,2024-10-10,17,1
Ankara Ekip,EFT,2024-10-10,22,1
İstanbul Ekip,EFT,2024-10-11,1,1
Merkez Ekip,EFT,2024-10-11,7,6
İstanbul Ekip,EFT,2024-10-11,7,1
Ankara Ekip,EFT,2024-10-11,7,2
Merkez Ekip,EFT,2024-10-11,8,3
İstanbul Ekip,EFT,2024-10-11,8,8
Ankara Ekip,EFT,2024-10-11,8,1
Merkez Ekip,EFT,2024-10-11,9,15
İstanbul Ekip,EFT,2024-10-11,9,17
Ankara Ekip,EFT,2024-10-11,9,2
Merkez Ekip,EFT,2024-10-11,10,7
İstanbul Ekip,EFT,2024-10-11,10,3
Ankara Ekip,EFT,2024-10-11,10,2
Merkez Ekip,EFT,2024-10-11,11,5
İstanbul Ekip,EFT,2024-10-11,11,2
Ankara Ekip,EFT,2024-10-11,11,1
Merkez Ekip,EFT,2024-10-11,13,5
İstanbul Ekip,EFT,2024-10-11,13,4
Ankara Ekip,EFT,2024-10-11,13,1
Merkez Ekip,EFT,2024-10-11,14,2
İstanbul Ekip,EFT,2024-10-11,14,3
Ankara Ekip,EFT,2024-10-11,14,2
Merkez Ekip,EFT,2024-10-11,15,4
İstanbul Ekip,EFT,2024-10-11,15,3
Ankara Ekip,EFT,2024-10-11,15,3
Merkez Ekip,EFT,2024-10-11,16,1
Ankara Ekip,EFT,2024-10-11,16,1
Merkez Ekip,EFT,2024-10-11,17,6
İstanbul Ekip,EFT,2024-10-11,17,5
Ankara Ekip,EFT,2024-10-11,17,1
Merkez Ekip,EFT,2024-10-11,18,6
İstanbul Ekip,EFT,2024-10-11,18,7
Ankara Ekip,EFT,2024-10-11,18,2
Merkez Ekip,EFT,2024-10-11,19,1
Ankara Ekip,EFT,2024-10-11,19,1
Merkez Ekip,EFT,2024-10-11,21,7
İstanbul Ekip,EFT,2024-10-11,21,6
Ankara Ekip,EFT,2024-10-11,21,3
Merkez Ekip,EFT,2024-10-14,1,1
Merkez Ekip,EFT,2024-10-14,2,6
İstanbul Ekip,EFT,2024-10-14,2,4
Ankara Ekip,EFT,2024-10-14,2,2
Merkez Ekip,EFT,2024-10-14,8,6
İstanbul Ekip,EFT,2024-10-14,8,6
Ankara Ekip,EFT,2024-10-14,8,2
Merkez Ekip,EFT,2024-10-14,9,72
İstanbul Ekip,EFT,2024-10-14,9,48
Ankara Ekip,EFT,2024-10-14,9,29
Merkez Ekip,EFT,2024-10-14,10,18
İstanbul Ekip,EFT,2024-10-14,10,21
Ankara Ekip,EFT,2024-10-14,10,11
Merkez Ekip,EFT,2024-10-14,11,14
İstanbul Ekip,EFT,2024-10-14,11,14
Ankara Ekip,EFT,2024-10-14,11,6
Merkez Ekip,EFT,2024-10-14,12,19
İstanbul Ekip,EFT,2024-10-14,12,10
Ankara Ekip,EFT,2024-10-14,12,7
Merkez Ekip,EFT,2024-10-14,13,5
Ankara Ekip,EFT,2024-10-14,13,1
Merkez Ekip,EFT,2024-10-14,14,21
İstanbul Ekip,EFT,2024-10-14,14,26
Ankara Ekip,EFT,2024-10-14,14,8
Merkez Ekip,EFT,2024-10-14,15,19
İstanbul Ekip,EFT,2024-10-14,15,26
Ankara Ekip,EFT,2024-10-14,15,10
Merkez Ekip,EFT,2024-10-14,16,25
İstanbul Ekip,EFT,2024-10-14,16,11
Ankara Ekip,EFT,2024-10-14,16,12
Merkez Ekip,EFT,2024-10-14,17,4
İstanbul Ekip,EFT,2024-10-14,17,1
Merkez Ekip,EFT,2024-10-14,18,1
İstanbul Ekip,EFT,2024-10-14,18,2
Ankara Ekip,EFT,2024-10-14,18,3
Merkez Ekip,EFT,2024-10-14,19,19
İstanbul Ekip,EFT,2024-10-14,19,19
Ankara Ekip,EFT,2024-10-14,19,4
Merkez Ekip,EFT,2024-10-14,20,1
Merkez Ekip,EFT,2024-10-15,3,6
İstanbul Ekip,EFT,2024-10-15,3,2
Ankara Ekip,EFT,2024-10-15,3,1
Merkez Ekip,EFT,2024-10-15,6,5
İstanbul Ekip,EFT,2024-10-15,6,6
Ankara Ekip,EFT,2024-10-15,6,1
Ankara Ekip,EFT,2024-10-15,7,1
Merkez Ekip,EFT,2024-10-15,8,6
İstanbul Ekip,EFT,2024-10-15,8,10
Ankara Ekip,EFT,2024-10-15,8,7
Merkez Ekip,EFT,2024-10-15,9,16
İstanbul Ekip,EFT,2024-10-15,9,16
