islem_tipi,tarih,saat,islem_hacmi
EFT,2025-09-26,14,482
EFT,2025-09-26,15,509
EFT,2025-09-26,16,483
EFT,2025-09-26,17,299
EFT,2025-09-26,18,283
EFT,2025-09-29,8,90
EFT,2025-09-29,9,125
EFT,2025-09-29,10,351
EFT,2025-09-29,11,166
EFT,2025-09-29,12,335
EFT,2025-09-29,13,375
EFT,2025-09-29,14,430
EFT,2025-09-29,15,517
EFT,2025-09-29,16,320
EFT,2025-09-29,17,299
EFT,2025-09-29,18,198
EFT,2025-09-30,8,199
EFT,2025-09-30,9,202
EFT,2025-09-30,10,405
EFT,2025-09-30,11,230
EFT,2025-09-30,12,259
EFT,2025-09-30,13,287
EFT,2025-09-30,14,275
EFT,2025-09-30,15,547
EFT,2025-09-30,16,742
EFT,2025-09-30,17,491
EFT,2025-09-30,18,208
EFT,2025-10-01,8,62
EFT,2025-10-01,9,86
EFT,2025-10-01,10,314
EFT,2025-10-01,11,200
EFT,2025-10-01,12,264
EFT,2025-10-01,13,129
EFT,2025-10-01,14,370
EFT,2025-10-01,15,387
EFT,2025-10-01,16,552
EFT,2025-10-01,17,337
EFT,2025-10-01,18,205
EFT,2025-10-02,8,92
EFT,2025-10-02,9,205
EFT,2025-10-02,10,114
EFT,2025-10-02,11,249
EFT,2025-10-02,12,205
EFT,2025-10-02,13,163
EFT,2025-10-02,14,393
EFT,2025-10-02,15,190
EFT,2025-10-02,16,571
EFT,2025-10-02,17,334
EFT,2025-10-02,18,180
EFT,2025-10-03,8,152
EFT,2025-10-03,9,280
EFT,2025-10-03,10,305
EFT,2025-10-03,11,213
EFT,2025-10-03,12,289
EFT,2025-10-03,13,292
EFT,2025-10-03,14,507
EFT,2025-10-03,15,246
EFT,2025-10-03,16,406
EFT,2025-10-03,17,507
EFT,2025-10-03,18,71
EFT,2025-10-06,8,166
EFT,2025-10-06,9,116
EFT,2025-10-06,10,194
EFT,2025-10-06,11,318
EFT,2025-10-06,12,222
EFT,2025-10-06,13,119
EFT,2025-10-06,14,310
EFT,2025-10-06,15,324
EFT,2025-10-06,16,316
EFT,2025-10-06,17,385
EFT,2025-10-06,18,198
EFT,2025-10-07,8,151
EFT,2025-10-07,9,169
EFT,2025-10-07,10,146
EFT,2025-10-07,11,124
EFT,2025-10-07,12,259
EFT,2025-10-07,13,378
EFT,2025-10-07,14,269
EFT,2025-10-07,15,370
EFT,2025-10-07,16,298
EFT,2025-10-07,17,164
EFT,2025-10-07,18,81
EFT,2025-10-08,8,106
EFT,2025-10-08,9,104
EFT,2025-10-08,10,227
EFT,2025-10-08,11,202
EFT,2025-10-08,12,309
EFT,2025-10-08,13,252
EFT,2025-10-08,14,277
EFT,2025-10-08,15,513
EFT,2025-10-08,16,236
EFT,2025-10-08,17,302
EFT,2025-10-08,18,124
EFT,2025-10-09,8,85
EFT,2025-10-09,9,186
EFT,2025-10-09,10,103
EFT,2025-10-09,11,217
EFT,2025-10-09,12,266
EFT,2025-10-09,13,317
EFT,2025-10-09,14,291
EFT,2025-10-09,15,361
EFT,2025-10-09,16,304
EFT,2025-10-09,17,139
EFT,2025-10-09,18,135
EFT,2025-10-10,8,168
EFT,2025-10-10,9,164
EFT,2025-10-10,10,276
EFT,2025-10-10,11,212
EFT,2025-10-10,12,244
EFT,2025-10-10,13,500
EFT,2025-10-10,14,198
EFT,2025-10-10,15,269
EFT,2025-10-10,16,305
EFT,2025-10-10,17,482
EFT,2025-10-10,18,210
EFT,2025-10-13,8,108
EFT,2025-10-13,9,130
EFT,2025-10-13,10,257
EFT,2025-10-13,11,114
EFT,2025-10-13,12,280
EFT,2025-10-13,13,248
EFT,2025-10-13,14,112
EFT,2025-10-13,15,296
EFT,2025-10-13,16,186
EFT,2025-10-13,17,327
EFT,2025-10-13,18,112
EFT,2025-10-14,8,63
EFT,2025-10-14,9,201
EFT,2025-10-14,10,367
EFT,2025-10-14,11,106
EFT,2025-10-14,12,159
EFT,2025-10-14,13,135
EFT,2025-10-14,14,366
EFT,2025-10-14,15,437
EFT,2025-10-14,16,343
EFT,2025-10-14,17,324
EFT,2025-10-14,18,77
EFT,2025-10-15,8,177
EFT,2025-10-15,9,74
EFT,2025-10-15,10,273
EFT,2025-10-15,11,234
EFT,2025-10-15,12,222
EFT,2025-10-15,13,200
EFT,2025-10-15,14,320
EFT,2025-10-15,15,387
EFT,2025-10-15,16,411
EFT,2025-10-15,17,398
EFT,2025-10-15,18,207
EFT,2025-10-16,8,88
EFT,2025-10-16,9,191
EFT,2025-10-16,10,299
EFT,2025-10-16,11,170
EFT,2025-10-16,12,142
EFT,2025-10-16,13,166
EFT,2025-10-16,14,452
EFT,2025-10-16,15,314
EFT,2025-10-16,16,351
EFT,2025-10-16,17,302
EFT,2025-10-16,18,85
EFT,2025-10-17,8,115
EFT,2025-10-17,9,184
EFT,2025-10-17,10,258
EFT,2025-10-17,11,168
EFT,2025-10-17,12,341
EFT,2025-10-17,13,243
EFT,2025-10-17,14,578
EFT,2025-10-17,15,433
EFT,2025-10-17,16,674
EFT,2025-10-17,17,577
EFT,2025-10-17,18,125
EFT,2025-10-20,8,90
EFT,2025-10-20,9,130
EFT,2025-10-20,10,288
EFT,2025-10-20,11,118
EFT,2025-10-20,12,248
EFT,2025-10-20,13,164
EFT,2025-10-20,14,151
EFT,2025-10-20,15,245
EFT,2025-10-20,16,350
EFT,2025-10-20,17,213
EFT,2025-10-20,18,110
EFT,2025-10-21,8,101
EFT,2025-10-21,9,205
EFT,2025-10-21,10,214
EFT,2025-10-21,11,250
EFT,2025-10-21,12,257
EFT,2025-10-21,13,118
EFT,2025-10-21,14,391
EFT,2025-10-21,15,241
EFT,2025-10-21,16,480
EFT,2025-10-21,17,373
EFT,2025-10-21,18,189
EFT,2025-10-22,8,123
EFT,2025-10-22,9,83
EFT,2025-10-22,10,168
EFT,2025-10-22,11,132
EFT,2025-10-22,12,181
EFT,2025-10-22,13,188
EFT,2025-10-22,14,306
EFT,2025-10-22,15,247
EFT,2025-10-22,16,443
EFT,2025-10-22,17,244
EFT,2025-10-22,18,93
EFT,2025-10-23,8,107
EFT,2025-10-23,9,231
EFT,2025-10-23,10,356
EFT,2025-10-23,11,156
EFT,2025-10-23,12,106
EFT,2025-10-23,13,365
EFT,2025-10-23,14,443
EFT,2025-10-23,15,289
EFT,2025-10-23,16,176
EFT,2025-10-23,17,305
EFT,2025-10-23,18,66
EFT,2025-10-24,8,116
EFT,2025-10-24,9,183
EFT,2025-10-24,10,164
EFT,2025-10-24,11,295
EFT,2025-10-24,12,175
EFT,2025-10-24,13,153
EFT,2025-10-24,14,444
EFT,2025-10-24,15,547
EFT,2025-10-24,16,503
EFT,2025-10-24,17,267
EFT,2025-10-24,18,265
